dataset_name,image_count,input_resolution,stitch_success,runtime_seconds,output_width,output_height,notes
01_landscape_rich_texture/set_landscape_1,4,1300x867,True,4.000286,1778,620,full batch experiment
01_landscape_rich_texture/set_landscape_2,4,1500x1112,True,0.690805,2494,670,full batch experiment
01_landscape_rich_texture/set_landscape_3,4,1300x867,True,0.529996,1670,623,full batch experiment
02_city_architecture/set_city_1,4,1500x1112,True,0.598435,2487,663,full batch experiment
02_city_architecture/set_city_2,4,1300x867,True,0.609511,2205,617,full batch experiment
02_city_architecture/set_city_3,4,1300x867,True,0.564810,2070,601,full batch experiment
03_map_or_satellite/set_map_1,4,1300x867,True,0.635115,2038,613,full batch experiment
03_map_or_satellite/set_map_2,4,1300x867,True,0.699158,2178,626,full batch experiment
03_map_or_satellite/set_map_3,4,1200x795,True,0.821437,2138,729,full batch experiment
04_indoor_low_texture/set_indoor_low_texture_1,4,1300x867,True,0.668035,1980,610,full batch experiment
04_indoor_low_texture/set_indoor_low_texture_2,4,1200x795,True,0.752813,2147,735,full batch experiment
04_indoor_low_texture/set_indoor_low_texture_3,4,1200x795,True,0.463073,1773,661,full batch experiment
05_low_light_or_exposure_diff/set_low_light_1,4,1200x795,True,0.826023,2141,729,full batch experiment
05_low_light_or_exposure_diff/set_low_light_2,4,1200x795,True,0.630319,1964,639,full batch experiment
05_low_light_or_exposure_diff/set_low_light_3,4,2000x1500,True,1.699264,1117,1436,full batch experiment
06_repetitive_texture/set_repetitive_1,4,1200x795,True,0.534376,1594,642,full batch experiment
06_repetitive_texture/set_repetitive_2,4,2000x1500,True,1.713672,1114,1436,full batch experiment
06_repetitive_texture/set_repetitive_3,4,1200x795,True,0.411254,1616,680,full batch experiment
07_large_parallax/set_large_parallax_1,2,2000x1500,False,0.147442,0,0,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'."
07_large_parallax/set_large_parallax_2,2,1200x795,True,0.365701,1540,667,full batch experiment
07_large_parallax/set_large_parallax_3,2,2000x1500,False,0.148812,0,0,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'."
08_many_images_wide_view/set_many_images_1,6,1200x795,True,1.324950,3386,652,full batch experiment
08_many_images_wide_view/set_many_images_2,6,2000x1500,True,2.400577,1676,1443,full batch experiment
08_many_images_wide_view/set_many_images_3,6,1500x1112,True,1.254926,3323,667,full batch experiment
09_failure_cases/set_failure_1,2,2000x1500,False,0.189238,0,0,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'."
09_failure_cases/set_failure_2,2,1500x1112,True,0.377364,1501,673,full batch experiment
09_failure_cases/set_failure_3,2,1200x795,True,0.310546,1598,670,full batch experiment
10_self_captured_demo/set_self_demo_1,0,none,False,0.000000,0,0,Need at least two images.
10_self_captured_demo/set_self_demo_2,0,none,False,0.000000,0,0,Need at least two images.
10_self_captured_demo/set_self_demo_3,0,none,False,0.000000,0,0,Need at least two images.
set1_uav_aerial,6,2000x1500,True,2.517583,1584,1133,full batch experiment
set2_cmu_campus,6,1500x1112,True,0.984812,2477,654,full batch experiment
set3_zijing_campus,6,1200x795,True,1.267514,3392,658,full batch experiment
